away_score,home_score,game_id,season,season_type,home_team_id,home_team_name,home_team_abbrev,away_team_id,away_team_name,away_team_abbrev,game_date,home_win,away_win,home_time_in_front,away_time_in_front,home_time_in_front_fr,away_time_in_front_fr,away_time_behind,home_time_behind,home_win1,home_win2,home_win3,home_win4,away_win1,away_win2,away_win3,away_win4,home_win_a1,home_win_a2,home_win_a3,home_win_a4,away_win_a1,away_win_a2,away_win_a3,away_win_a4,home_time_behind_fr,away_time_behind_fr,win_time_in_front,lose_time_in_front,win_team,lose_team,win_time_behind,lose_time_behind
109,113,400900595,2017,2,19,Orlando,ORL,8,Detroit,DET,17268,TRUE,FALSE,2509,167,0.8711805555555555,0.05798611111111111,2509,167,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.05798611111111111,0.8711805555555555,0.8711805555555555,0.05798611111111111,ORL,DET,0.05798611111111111,0.8711805555555555
98,83,400900596,2017,2,5,Cleveland,CLE,28,Toronto,TOR,17268,FALSE,TRUE,133,2656,0.04618055555555556,0.9222222222222223,133,2656,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.9222222222222223,0.04618055555555556,0.9222222222222223,0.04618055555555556,TOR,CLE,0.04618055555555556,0.9222222222222223
94,112,400900597,2017,2,2,Boston,BOS,15,Milwaukee,MIL,17268,TRUE,FALSE,967,1616,0.33576388888888886,0.5611111111111111,967,1616,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.5611111111111111,0.33576388888888886,0.33576388888888886,0.5611111111111111,BOS,MIL,0.5611111111111111,0.33576388888888886
113,114,400900598,2017,2,18,New York,NY,20,Philadelphia,PHI,17268,TRUE,FALSE,506,2138,0.17569444444444443,0.7423611111111111,506,2138,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0.7423611111111111,0.17569444444444443,0.17569444444444443,0.7423611111111111,NY,PHI,0.7423611111111111,0.17569444444444443
102,110,400900599,2017,2,14,Miami,MIA,27,Washington,WSH,17268,TRUE,FALSE,1798,947,0.6243055555555556,0.32881944444444444,1798,947,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.32881944444444444,0.6243055555555556,0.6243055555555556,0.32881944444444444,MIA,WSH,0.32881944444444444,0.6243055555555556
73,112,400900600,2017,2,4,Chicago,CHI,17,Brooklyn,BKN,17268,TRUE,FALSE,2692,0,0.9347222222222222,0,2692,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0.9347222222222222,0.9347222222222222,0,CHI,BKN,0,0.9347222222222222
100,93,400900601,2017,2,29,Memphis,MEM,6,Dallas,DAL,17268,FALSE,TRUE,2310,459,0.8020833333333334,0.159375,2310,459,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.159375,0.8020833333333334,0.159375,0.8020833333333334,DAL,MEM,0.8020833333333334,0.159375
118,123,400900602,2017,2,10,Houston,HOU,16,Minnesota,MIN,17268,TRUE,FALSE,1936,766,0.6722222222222223,0.2659722222222222,1936,766,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2659722222222222,0.6722222222222223,0.6722222222222223,0.2659722222222222,HOU,MIN,0.2659722222222222,0.6722222222222223
111,105,400900603,2017,2,25,Oklahoma City,OKC,7,Denver,DEN,17268,FALSE,TRUE,1280,1472,0.4444444444444444,0.5111111111111111,1280,1472,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.5111111111111111,0.4444444444444444,0.5111111111111111,0.4444444444444444,DEN,OKC,0.4444444444444444,0.5111111111111111
86,104,400900604,2017,2,11,Indiana,IND,1,Atlanta,ATL,17268,TRUE,FALSE,2430,362,0.84375,0.12569444444444444,2430,362,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.12569444444444444,0.84375,0.84375,0.12569444444444444,IND,ATL,0.12569444444444444,0.84375
